compound_drug_id,compound_compound_name,compound_iupac,compound_smiles,compound_molecular_weight,compound_molecular_formula,compound_pharmacology
DB00044,Lutropin alfa,,,,,pending
DB00045,Lyme disease vaccine (recombinant OspA),,,,,pending
DB00046,Insulin lispro,,,,,pending
DB00047,Insulin glargine,,,,,pending
DB00048,Collagenase clostridium histolyticum,,,,,pending
DB00049,Rasburicase,,,,,pending
DB00050,Cetrorelix,(2S)-N-[(2S)-5-carbamimidamido-1-[(2S)-2-{[(1R)-1-carbamoylethyl]carbamoyl}pyrrolidin-1-yl]-1-oxopen,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=C,1429.669818444,C70H92ClN17O14,pending
DB00051,Adalimumab,,,,,pending
DB00052,Somatotropin,,,,,pending
DB00053,Imiglucerase,,,,,pending
DB00054,Abciximab,,,,,pending
DB00055,Drotrecogin alfa,,,,,pending
DB00056,Gemtuzumab ozogamicin,,,,,pending
DB00057,Indium In-111 satumomab pendetide,,,,,pending
DB00058,Alpha-1-proteinase inhibitor,,,,,pending
DB00059,Pegaspargase,,,,,pending
DB00060,Interferon beta-1a,,,,,pending
DB00061,Pegademase,,,,,pending
DB00062,Albumin human,,,,,pending
DB00063,Eptifibatide,,,,,pending
DB00065,Infliximab,,,,,pending
DB00066,Follitropin,,,,,pending
DB00067,Vasopressin,,,,,pending
DB00068,Interferon beta-1b,,,,,pending
DB00069,Interferon alfacon-1,,,,,pending
DB00070,Hyaluronidase (ovine),,,,,pending
DB00071,Insulin pork,,,,,pending
DB00072,Trastuzumab,,,,,pending
DB00073,Rituximab,,,,,pending
DB00074,Basiliximab,,,,,pending
DB00075,Muromonab,,,,,pending
DB00076,Digoxin Immune Fab (Ovine),,,,,pending
DB00078,Ibritumomab tiuxetan,,,,,pending
DB00080,Daptomycin,"(3S)-3-{[(3S,6S,9R,15S,18R,21S,24S,30S,31R)-3-[2-(2-aminophenyl)-2-oxoethyl]-24-(3-aminopropyl)-15,2",CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H,1619.71036644,C72H101N17O26,pending
DB00081,Tositumomab,,,,,pending
DB00082,Pegvisomant,,,,,pending
DB00083,Botulinum toxin type A,,,,,pending
DB00085,Pancrelipase,,,,,pending
DB00086,Streptokinase,,,,,pending
DB00087,Alemtuzumab,,,,,pending
DB00088,Alglucerase,,,,,pending
DB00089,Capromab pendetide,,,,,pending
DB00090,Laronidase,,,,,pending
DB00091,Cyclosporine,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(1R,2R,4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,",CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@,1201.841368058,C62H111N11O12,pending
DB00092,Alefacept,,,,,pending
DB00093,Felypressin,"(2S)-6-amino-2-{[(2S)-1-[(4R,7S,10S,13S,16S,19R)-19-amino-13,16-dibenzyl-10-(2-carbamoylethyl)-7-(ca",NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=C,1039.436791367,C46H65N13O11S2,pending
DB00094,Urofollitropin,,,,,pending
DB00095,Efalizumab,,,,,pending
DB00097,Choriogonadotropin alfa,,,,,pending
DB00098,Antithymocyte immunoglobulin (rabbit),,,,,pending
DB00099,Filgrastim,,,,,pending
DB00100,Coagulation Factor IX (Recombinant),,,,,pending
DB00102,Becaplermin,,,,,pending
DB00103,Agalsidase beta,,,,,pending
DB00104,Octreotide,"(4R,7S,10S,13R,16S,19R)-19-[(2R)-2-amino-3-phenylpropanamido]-10-(4-aminobutyl)-16-benzyl-N-[(2R,3R)",[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC,1018.440480713,C49H66N10O10S2,pending
DB00105,Interferon alfa-2b,,,,,pending
DB00106,Abarelix,(2R)-N-[(1S)-1-{[(2S)-1-[(2S)-2-{[(1R)-1-carbamoylethyl]carbamoyl}pyrrolidin-1-yl]-1-oxo-6-[(propan-,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=C,1414.6840715,C72H95ClN14O14,pending
DB00107,Oxytocin,,,,,pending
DB00108,Natalizumab,,,,,pending
DB00109,Enfuvirtide,,,,,pending
DB00110,Palivizumab,,,,,pending
DB00111,Daclizumab,,,,,pending
DB00112,Bevacizumab,,,,,pending
DB00113,Technetium Tc-99m arcitumomab,,,,,pending
DB00114,Pyridoxal phosphate,[(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methoxy]phosphonic acid,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,247.024573569,C8H10NO6P,pending
DB00115,Cyanocobalamin,"cyano[(1R,2R,3R,4R,6Z,8S,11Z,13S,14S,16Z,18S,19S)-8,13,18-tris(2-carbamoylethyl)-3,14,19-tris(carbam",C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C,1354.5674053,C63H88CoN14O14P,pending
DB00116,Tetrahydrofolic acid,"(2S)-2-[(4-{[(2-amino-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl)methyl]amino}phenyl)formamido]pentane",NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,445.170981503,C19H23N7O6,pending
DB00117,Histidine,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,N[C@@H](CC1=CNC=N1)C(O)=O,155.069476547,C6H9N3O2,pending
DB00118,Ademetionine,"(2S)-2-amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}(methyl)su",[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O,398.137239006,C15H22N6O5S,pending
DB00119,Pyruvic acid,2-oxopropanoic acid,CC(=O)C(O)=O,88.016043994,C3H4O3,pending
DB00120,Phenylalanine,(2S)-2-amino-3-phenylpropanoic acid,N[C@@H](CC1=CC=CC=C1)C(O)=O,165.078978601,C9H11NO2,pending
DB00121,Biotin,"5-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazolidin-4-yl]pentanoic acid",[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,244.088163078,C10H16N2O3S,pending
DB00122,Choline,(2-hydroxyethyl)trimethylazanium,C[N+](C)(C)CCO,104.107539075,C5H14NO,pending
DB00123,L-Lysine,"(2S)-2,6-diaminohexanoic acid",NCCCC[C@H](N)C(O)=O,146.105527702,C6H14N2O2,pending
DB00125,Arginine,(2S)-2-amino-5-carbamimidamidopentanoic acid,N[C@@H](CCCNC(N)=N)C(O)=O,174.111675712,C6H14N4O2,pending
DB00126,Ascorbic acid,"(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2,5-dihydrofuran-2-one",[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,176.032087988,C6H8O6,pending
DB00127,Spermine,(3-aminopropyl)({4-[(3-aminopropyl)amino]butyl})amine,NCCCNCCCCNCCCN,202.215746852,C10H26N4,pending
DB00128,Aspartic acid,(2S)-2-aminobutanedioic acid,N[C@@H](CC(O)=O)C(O)=O,133.037507717,C4H7NO4,pending
DB00129,Ornithine,"(2S)-2,5-diaminopentanoic acid",NCCC[C@H](N)C(O)=O,132.089877638,C5H12N2O2,pending
DB00130,L-Glutamine,(2S)-2-amino-4-carbamoylbutanoic acid,N[C@@H](CCC(N)=O)C(O)=O,146.069142196,C5H10N2O3,pending
DB00131,Adenosine phosphate,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid",NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,347.063084339,C10H14N5O7P,pending
DB00132,alpha-Linolenic acid,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,278.224580204,C18H30O2,pending
DB00133,Serine,(2S)-2-amino-3-hydroxypropanoic acid,N[C@@H](CO)C(O)=O,105.042593095,C3H7NO3,pending
DB00134,Methionine,(2S)-2-amino-4-(methylsulfanyl)butanoic acid,CSCC[C@H](N)C(O)=O,149.051049291,C5H11NO2S,pending
DB00135,Tyrosine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,181.073893223,C9H11NO3,pending
DB00136,Calcitriol,"(1R,3S,5Z)-5-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,416.329045274,C27H44O3,pending
DB00137,Lutein,"(1R,4R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl]-3,",C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1,568.428031043,C40H56O2,pending
DB00138,Cystine,(2R)-2-amino-3-{[(2R)-2-amino-2-carboxyethyl]disulfanyl}propanoic acid,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,240.023848262,C6H12N2O4S2,pending
DB00139,Succinic acid,butanedioic acid,OC(=O)CCC(O)=O,118.02660868,C4H6O4,pending
DB00140,Riboflavin,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2H,3H,4H,10H-benzo[g]pteridine-2,4-dione",CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,376.138284392,C17H20N4O6,pending
DB00141,N-Acetylglucosamine,"N-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]acetamide",[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,221.089937217,C8H15NO6,pending
DB00142,Glutamic acid,(2S)-2-aminopentanedioic acid,N[C@@H](CCC(O)=O)C(O)=O,147.053157781,C5H9NO4,pending
DB00143,Glutathione,(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-sulfanylethyl]carbamoyl}butanoic acid,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,307.083805981,C10H17N3O6S,pending
DB00144,Phosphatidyl serine,(2S)-2-amino-3-({[(2R)-2-(butanoyloxy)-3-(propanoyloxy)propoxy](hydroxy)phosphoryl}oxy)propanoic aci,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,385.113782505,C13H24NO10P,pending
DB00145,Glycine,2-aminoacetic acid,NCC(O)=O,75.032028409,C2H5NO2,pending
DB00146,Calcifediol,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-",C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,400.334130652,C27H44O2,pending
DB00147,Pyridoxal,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,CC1=NC=C(CO)C(C=O)=C1O,167.058243159,C8H9NO3,pending
DB00148,Creatine,2-(N-methylcarbamimidamido)acetic acid,CN(CC(O)=O)C(N)=N,131.069476547,C4H9N3O2,pending
DB00149,Leucine,(2S)-2-amino-4-methylpentanoic acid,CC(C)C[C@H](N)C(O)=O,131.094628665,C6H13NO2,pending
DB00150,Tryptophan,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,204.089877638,C11H12N2O2,pending
DB00151,Cysteine,(2R)-2-amino-3-sulfanylpropanoic acid,N[C@@H](CS)C(O)=O,121.019749163,C3H7NO2S,pending
DB00152,Thiamine,"3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium",CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,265.112306876,C12H17N4OS,pending
DB00153,Ergocalciferol,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R,3E,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-octahydro-1H-inden",CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,396.33921603,C28H44O,pending
DB00154,Dihomo-gamma-linolenic acid,"(8Z,11Z,14Z)-icosa-8,11,14-trienoic acid",CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,306.255880332,C20H34O2,pending
DB00155,Citrulline,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,N[C@@H](CCCNC(N)=O)C(O)=O,175.095691297,C6H13N3O3,pending
DB00156,Threonine,"(2S,3R)-2-amino-3-hydroxybutanoic acid",C[C@@H](O)[C@H](N)C(O)=O,119.058243159,C4H9NO3,pending
DB00157,NADH,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N,665.124771695,C21H29N7O14P2,pending
DB00158,Folic acid,"(2S)-2-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid",NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,441.139681375,C19H19N7O6,pending
DB00159,Icosapent,"(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid",CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,302.224580204,C20H30O2,pending
DB00160,Alanine,(2S)-2-aminopropanoic acid,C[C@H](N)C(O)=O,89.047678473,C3H7NO2,pending
DB00161,Valine,(2S)-2-amino-3-methylbutanoic acid,CC(C)[C@H](N)C(O)=O,117.078978601,C5H11NO2,pending
DB00162,Vitamin A,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol",C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,286.229665582,C20H30O,pending
DB00163,Vitamin E,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,430.381080844,C29H50O2,pending
DB00165,Pyridoxine,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",CC1=C(O)C(CO)=C(CO)C=N1,169.073893223,C8H11NO3,pending
DB00166,Lipoic acid,"5-[(3R)-1,2-dithiolan-3-yl]pentanoic acid",OC(=O)CCCC[C@@H]1CCSS1,206.043521072,C8H14O2S2,pending
DB00167,Isoleucine,"(2S,3S)-2-amino-3-methylpentanoic acid",CC[C@H](C)[C@H](N)C(O)=O,131.094628665,C6H13NO2,pending
DB00168,Aspartame,(3S)-3-amino-3-{[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]carbamoyl}propanoic acid,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,294.121571696,C14H18N2O5,pending
DB00169,Cholecalciferol,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-octahydro-1H-inden-4-ylidene]et",CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,384.33921603,C27H44O,pending
DB00170,Menadione,"2-methyl-1,4-dihydronaphthalene-1,4-dione",CC1=CC(=O)C2=CC=CC=C2C1=O,172.0524295,C11H8O2,pending
DB00171,ATP,"({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)o",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,506.995745159,C10H16N5O13P3,pending
DB00172,Proline,(2S)-pyrrolidine-2-carboxylic acid,OC(=O)[C@@H]1CCCN1,115.063328537,C5H9NO2,pending
DB00173,Adenine,7H-purin-6-amine,NC1=C2NC=NC2=NC=N1,135.054495185,C5H5N5,pending
DB00174,Asparagine,(2S)-2-amino-3-carbamoylpropanoic acid,N[C@@H](CC(N)=O)C(O)=O,132.053492132,C4H8N2O3,pending
DB00175,Pravastatin,"(3R,5R)-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(2S)-2-methylbutanoyl]oxy}-1,2,6,7,8,8a-hexahydr",[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,424.246103506,C23H36O7,pending
DB00176,Fluvoxamine,(E)-(2-aminoethoxy)({5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene})amine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,318.155512413,C15H21F3N2O2,pending
DB00177,Valsartan,"(2S)-3-methyl-2-[N-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)pentanamido]butanoic acid",CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,435.227039819,C24H29N5O3,pending
DB00178,Ramipril,"(2S,3aS,6aS)-1-[(2S)-2-{[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino}propanoyl]-octahydrocyclopenta",[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,416.231122144,C23H32N2O5,pending
DB00179,Masoprocol,"4-[(2S,3R)-3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl]benzene-1,2-diol",C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,302.151809192,C18H22O4,pending
DB00180,Flunisolide,"(1S,2S,4R,8S,9S,11S,12S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-d",[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(,434.210466929,C24H31FO6,pending
DB00181,Baclofen,4-amino-3-(4-chlorophenyl)butanoic acid,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,213.05565634,C10H12ClNO2,pending
DB00182,Amphetamine,1-phenylpropan-2-amine,CC(N)CC1=CC=CC=C1,135.104799421,C9H13N,pending
DB00183,Pentagastrin,(3S)-3-[(2S)-2-[(2S)-2-(3-{[(tert-butoxy)carbonyl]amino}propanamido)-3-(1H-indol-3-yl)propanamido]-4,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C,767.33124736,C37H49N7O9S,pending
DB00184,Nicotine,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,CN1CCC[C@H]1C1=CN=CC=C1,162.115698458,C10H14N2,pending
DB00185,Cevimeline,"(2R)-5'-methyl-4-azaspiro[bicyclo[2.2.2]octane-2,2'-[1,4]oxathiolane]",CC1O[C@@]2(CS1)CN1CCC2CC1,199.103084861,C10H17NOS,pending
DB00186,Lorazepam,"7-chloro-5-(2-chlorophenyl)-3-hydroxy-2,3-dihydro-1H-1,4-benzodiazepin-2-one",OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,320.011932988,C15H10Cl2N2O2,pending
DB00187,Esmolol,methyl 3-(4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)propanoate,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,295.178358293,C16H25NO4,pending
DB00188,Bortezomib,[(1R)-3-methyl-1-[(2S)-3-phenyl-2-(pyrazin-2-ylformamido)propanamido]butyl]boronic acid,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,384.196885774,C19H25BN4O4,pending
DB00189,Ethchlorvynol,(1E)-1-chloro-3-ethylpent-1-en-4-yn-3-ol,CCC(O)(\C=C\Cl)C#C,144.0341926,C7H9ClO,pending
DB00190,Carbidopa,"(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid",C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,226.095356946,C10H14N2O4,pending
DB00191,Phentermine,2-methyl-1-phenylpropan-2-amine,CC(C)(N)CC1=CC=CC=C1,149.120449485,C10H15N,pending
DB00192,Indecainide,9-{3-[(propan-2-yl)amino]propyl}-9H-fluorene-9-carboxamide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,308.1888634,C20H24N2O,pending
DB00193,Tramadol,"(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol",COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,263.188529049,C16H25NO2,pending
DB00194,Vidarabine,"(2R,3S,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,267.096753929,C10H13N5O4,pending
DB00195,Betaxolol,1-{4-[2-(cyclopropylmethoxy)ethyl]phenoxy}-3-[(propan-2-yl)amino]propan-2-ol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,307.214743799,C18H29NO3,pending
DB00196,Fluconazole,"2-(2,4-difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)propan-2-ol",OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,306.104065446,C13H12F2N6O,pending
