company,disease_class,compound,mw,clogp,arom,hba,hbd,rtb,psa,bpka,apka
ABBVIE INC,C04 Neoplasms,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,C11 Eye Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,F03 Mental Disorders,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C14 Cardiovascular Diseases,TRANDOLAPRIL,430.55,1.95,1,5,2,9,95.94,5.21,3.8
ABBVIE INC,C01 Infections,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C18 Nutritional and Metabolic Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C08 Respiratory Tract Diseases,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C06 Digestive System Diseases,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C01 Infections,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C10 Nervous System Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C11 Eye Diseases,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,F03 Mental Disorders,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C14 Cardiovascular Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C04 Neoplasms,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C01 Infections,LOPINAVIR,628.81,4.69,3,5,4,15,120,,13.39
ABBVIE INC,C18 Nutritional and Metabolic Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C15 Hemic and Lymphatic Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C17 Skin and Connective Tissue Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,F01 Behavior and Behavior Mechanisms,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C18 Nutritional and Metabolic Diseases,LOPINAVIR,628.81,4.69,3,5,4,15,120,,13.39
ABBVIE INC,G08 Reproductive and Urinary Physiological Phenomena,LOPINAVIR,628.81,4.69,3,5,4,15,120,,13.39
ABBVIE INC,C10 Nervous System Diseases,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C17 Skin and Connective Tissue Diseases,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C12 Male Urogenital Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,CHOLINE FENOFIBRATE,318.76,4.36,2,3,1,5,63.6,,3.1
ABBVIE INC,C01 Infections,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",CHOLINE FENOFIBRATE,318.76,4.36,2,3,1,5,63.6,,3.1
ABBVIE INC,F01 Behavior and Behavior Mechanisms,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C14 Cardiovascular Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,C17 Skin and Connective Tissue Diseases,DIVALPROEX SODIUM,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C04 Neoplasms,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,C06 Digestive System Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,C08 Respiratory Tract Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C11 Eye Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C04 Neoplasms,DIVALPROEX SODIUM,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,F03 Mental Disorders,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,G08 Reproductive and Urinary Physiological Phenomena,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,F03 Mental Disorders,DIVALPROEX SODIUM,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C01 Infections,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C10 Nervous System Diseases,DIVALPROEX SODIUM,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C14 Cardiovascular Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C04 Neoplasms,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C12 Male Urogenital Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C06 Digestive System Diseases,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C17 Skin and Connective Tissue Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C01 Infections,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,"C23 Pathological Conditions, Signs and Symptoms",LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C05 Musculoskeletal Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C01 Infections,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C08 Respiratory Tract Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,C12 Male Urogenital Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,"C23 Pathological Conditions, Signs and Symptoms",DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C10 Nervous System Diseases,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,"C23 Pathological Conditions, Signs and Symptoms",CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C05 Musculoskeletal Diseases,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C08 Respiratory Tract Diseases,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C04 Neoplasms,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C19 Endocrine System Diseases,PARICALCITOL,416.65,4.26,0,3,3,5,60.69,,
ABBVIE INC,C14 Cardiovascular Diseases,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,PARICALCITOL,416.65,4.26,0,3,3,5,60.69,,
ABBVIE INC,C10 Nervous System Diseases,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C01 Infections,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C04 Neoplasms,PARICALCITOL,416.65,4.26,0,3,3,5,60.69,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,LOVASTATIN,404.55,3.9,0,5,1,6,72.83,,
ABBVIE INC,C12 Male Urogenital Diseases,PARICALCITOL,416.65,4.26,0,3,3,5,60.69,,
ABBVIE INC,C15 Hemic and Lymphatic Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C20 Immune System Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C05 Musculoskeletal Diseases,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,F03 Mental Disorders,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,F03 Mental Disorders,LEVOTHYROXINE SODIUM,776.87,3.73,2,4,3,5,92.78,9.43,0.27
ABBVIE INC,C01 Infections,DASABUVIR SODIUM,493.59,3.42,4,6,2,5,110.26,,9.09
ABBVIE INC,C08 Respiratory Tract Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C10 Nervous System Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C26 Wounds and Injuries,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C10 Nervous System Diseases,TRIMETHADIONE,143.14,0.5,0,3,0,0,46.61,,
ABBVIE INC,C05 Musculoskeletal Diseases,LEVOTHYROXINE SODIUM,776.87,3.73,2,4,3,5,92.78,9.43,0.27
ABBVIE INC,C19 Endocrine System Diseases,LEVOTHYROXINE SODIUM,776.87,3.73,2,4,3,5,92.78,9.43,0.27
ABBVIE INC,C05 Musculoskeletal Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C14 Cardiovascular Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C25 Chemically-Induced Disorders,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C15 Hemic and Lymphatic Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C10 Nervous System Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C17 Skin and Connective Tissue Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C04 Neoplasms,LEVOTHYROXINE SODIUM,776.87,3.73,2,4,3,5,92.78,9.43,0.27
ABBVIE INC,"C23 Pathological Conditions, Signs and Symptoms",LEVOTHYROXINE SODIUM,776.87,3.73,2,4,3,5,92.78,9.43,0.27
ABBVIE INC,C14 Cardiovascular Diseases,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C18 Nutritional and Metabolic Diseases,FENOFIBRATE,360.84,5.28,2,4,0,6,52.6,,
ABBVIE INC,C26 Wounds and Injuries,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C12 Male Urogenital Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C04 Neoplasms,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C25 Chemically-Induced Disorders,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C10 Nervous System Diseases,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C06 Digestive System Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C26 Wounds and Injuries,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C11 Eye Diseases,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,C15 Hemic and Lymphatic Diseases,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,C11 Eye Diseases,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C07 Stomatognathic Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C04 Neoplasms,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C15 Hemic and Lymphatic Diseases,VALPROIC ACID,144.21,2.8,0,1,1,5,37.3,,5.14
ABBVIE INC,C01 Infections,NIACIN,123.11,-0.17,1,2,1,1,50.19,4.19,2.79
ABBVIE INC,F03 Mental Disorders,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABBVIE INC,F01 Behavior and Behavior Mechanisms,DRONABINOL,314.47,5.94,1,2,1,4,29.46,,9.34
ABHAI LLC,C18 Nutritional and Metabolic Diseases,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,G08 Reproductive and Urinary Physiological Phenomena,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C01 Infections,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C14 Cardiovascular Diseases,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C17 Skin and Connective Tissue Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C06 Digestive System Diseases,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C15 Hemic and Lymphatic Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C13 Female Urogenital Diseases and Pregnancy Complications,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C20 Immune System Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C25 Chemically-Induced Disorders,HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,C11 Eye Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C06 Digestive System Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C04 Neoplasms,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C17 Skin and Connective Tissue Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C08 Respiratory Tract Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,F03 Mental Disorders,METHYLPHENIDATE HYDROCHLORIDE,233.31,2.25,1,3,1,3,38.33,9.09,
ABHAI LLC,C10 Nervous System Diseases,METHYLPHENIDATE HYDROCHLORIDE,233.31,2.25,1,3,1,3,38.33,9.09,
ABHAI LLC,C26 Wounds and Injuries,HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C18 Nutritional and Metabolic Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C01 Infections,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C10 Nervous System Diseases,DESMOPRESSIN ACETATE,1069.24,,,,,,,,
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",METHYLPHENIDATE HYDROCHLORIDE,233.31,2.25,1,3,1,3,38.33,9.09,
ABHAI LLC,C10 Nervous System Diseases,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",DESMOPRESSIN ACETATE,1069.24,,,,,,,,
ABHAI LLC,C12 Male Urogenital Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C04 Neoplasms,METHYLPHENIDATE HYDROCHLORIDE,233.31,2.25,1,3,1,3,38.33,9.09,
ABHAI LLC,C12 Male Urogenital Diseases,DESMOPRESSIN ACETATE,1069.24,,,,,,,,
ABHAI LLC,C04 Neoplasms,URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C12 Male Urogenital Diseases,OXYBUTYNIN CHLORIDE,357.49,4.44,1,4,1,7,49.77,8.77,11.53
ABHAI LLC,C05 Musculoskeletal Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",URSODIOL,392.58,3.71,0,3,3,4,77.76,,4.6
ABHAI LLC,C14 Cardiovascular Diseases,DESMOPRESSIN ACETATE,1069.24,,,,,,,,
ABHAI LLC,C18 Nutritional and Metabolic Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C06 Digestive System Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C06 Digestive System Diseases,HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,C04 Neoplasms,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,C05 Musculoskeletal Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,C05 Musculoskeletal Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C20 Immune System Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,C01 Infections,ATOVAQUONE,366.84,5,2,3,1,2,54.37,,5.73
ABHAI LLC,C14 Cardiovascular Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C10 Nervous System Diseases,HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,C17 Skin and Connective Tissue Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,C26 Wounds and Injuries,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C12 Male Urogenital Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,C01 Infections,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,C14 Cardiovascular Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ABHAI LLC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C25 Chemically-Induced Disorders,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C01 Infections,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C10 Nervous System Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,C04 Neoplasms,ATOVAQUONE,366.84,5,2,3,1,2,54.37,,5.73
ABHAI LLC,C07 Stomatognathic Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C04 Neoplasms,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C10 Nervous System Diseases,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C05 Musculoskeletal Diseases,HYDROCODONE BITARTRATE,299.37,1.96,1,4,0,1,38.77,8.61,
ABHAI LLC,C14 Cardiovascular Diseases,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,F03 Mental Disorders,ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C10 Nervous System Diseases,BUTALBITAL,224.26,1.59,0,3,2,4,75.27,,7.48
ABHAI LLC,F03 Mental Disorders,CAFFEINE,194.19,-0.55,2,6,0,0,61.82,,
ABHAI LLC,"C23 Pathological Conditions, Signs and Symptoms",ACETAMINOPHEN,151.16,0.91,1,2,2,1,49.33,,9.46
ABHAI LLC,C11 Eye Diseases,LEFLUNOMIDE,270.21,2.51,2,3,1,2,55.13,,13.72
ACCORD HEALTHCARE INC,C04 Neoplasms,CAPECITABINE,359.35,0.77,1,8,3,6,122.91,,8.63
ACCORD HEALTHCARE INC,C10 Nervous System Diseases,NORETHINDRONE,298.43,3.22,0,2,1,0,37.3,,
ACCORD HEALTHCARE INC,C17 Skin and Connective Tissue Diseases,RAMIPRIL,416.52,1.47,1,5,2,9,95.94,5.2,3.75
ACCORD HEALTHCARE INC,C11 Eye Diseases,EPLERENONE,414.5,2.33,0,6,0,1,82.2,,
ACCORD HEALTHCARE INC,C14 Cardiovascular Diseases,EPLERENONE,414.5,2.33,0,6,0,1,82.2,,
ACCORD HEALTHCARE INC,C04 Neoplasms,EPLERENONE,414.5,2.33,0,6,0,1,82.2,,
ACCORD HEALTHCARE INC,C18 Nutritional and Metabolic Diseases,TADALAFIL,389.41,1.64,3,4,1,1,74.87,,
ACCORD HEALTHCARE INC,C12 Male Urogenital Diseases,RAMIPRIL,416.52,1.47,1,5,2,9,95.94,5.2,3.75
ACCORD HEALTHCARE INC,C14 Cardiovascular Diseases,RAMIPRIL,416.52,1.47,1,5,2,9,95.94,5.2,3.75
ACCORD HEALTHCARE INC,C01 Infections,CAPECITABINE,359.35,0.77,1,8,3,6,122.91,,8.63
ACCORD HEALTHCARE INC,C14 Cardiovascular Diseases,LISINOPRIL,405.5,-3.1,1,5,4,12,132.96,10.21,3.17
ACCORD HEALTHCARE INC,C05 Musculoskeletal Diseases,RAMIPRIL,416.52,1.47,1,5,2,9,95.94,5.2,3.75
ACCORD HEALTHCARE INC,C10 Nervous System Diseases,CAPECITABINE,359.35,0.77,1,8,3,6,122.91,,8.63
ACCORD HEALTHCARE INC,C19 Endocrine System Diseases,TADALAFIL,389.41,1.64,3,4,1,1,74.87,,
ACCORD HEALTHCARE INC,C18 Nutritional and Metabolic Diseases,RAMIPRIL,416.52,1.47,1,5,2,9,95.94,5.2,3.75
ACCORD HEALTHCARE INC,C12 Male Urogenital Diseases,EPLERENONE,414.5,2.33,0,6,0,1,82.2,,
ACCORD HEALTHCARE INC,C12 Male Urogenital Diseases,ALLOPURINOL,136.11,-1.76,0,3,2,0,74.43,0.09,7.83
ACCORD HEALTHCARE INC,C10 Nervous System Diseases,LEVETIRACETAM,170.21,-0.59,0,2,1,3,63.4,,
ACCORD HEALTHCARE INC,C12 Male Urogenital Diseases,TADALAFIL,389.41,1.64,3,4,1,1,74.87,,
ACCORD HEALTHCARE INC,C25 Chemically-Induced Disorders,QUETIAPINE FUMARATE,383.52,2.81,2,6,1,5,48.3,7.06,
ACCORD HEALTHCARE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",QUETIAPINE FUMARATE,383.52,2.81,2,6,1,5,48.3,7.06,
ACCORD HEALTHCARE INC,C10 Nervous System Diseases,QUETIAPINE FUMARATE,383.52,2.81,2,6,1,5,48.3,7.06,
ACCORD HEALTHCARE INC,C19 Endocrine System Diseases,BICALUTAMIDE,430.38,2.71,2,5,2,5,107.26,,11.78
ACCORD HEALTHCARE INC,C04 Neoplasms,BICALUTAMIDE,430.38,2.71,2,5,2,5,107.26,,11.78
ACCORD HEALTHCARE INC,F03 Mental Disorders,LEVONORGESTREL,312.45,3.66,0,2,1,1,37.3,,
ACCORD HEALTHCARE INC,C05 Musculoskeletal Diseases,LEVONORGESTREL,312.45,3.66,0,2,1,1,37.3,,
ACCORD HEALTHCARE INC,C18 Nutritional and Metabolic Diseases,LEVONORGESTREL,312.45,3.66,0,2,1,1,37.3,,
